name,series,image
Ogami Sachi,Link! Like! Love Live!,https://pbs.twimg.com/media/GGKJC_TW4AAuYUe?format=jpg&name=small
Shea Haulia,Arifureta Shokugyou de Sekai Saikyou,https://pbs.twimg.com/media/Gdzsor_XwAYitQG?format=jpg&name=small
Ikuyo Kita,Bocchi the Rock!,https://i.ytimg.com/vi/s_ea3IVdfFQ/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgUChYMA8=&rs=AOn4CLDgB0DlnwVF2lL6uBIuxwAHZhGMZw
Übel,Sousou no Frieren,https://i.ytimg.com/vi/V32ID_r18Zk/maxresdefault.jpg
Houjou Satoko,Higurashi no Naku Koro ni,https://static1.cbrimages.com/wordpress/wp-content/uploads/2020/12/higurashi-satoko-Cropped.jpg
Narumiya Suzu,Idoly Pride,https://s1.zerochan.net/Narumiya.Suzu.600.3013580.jpg
Kokoa Hoto,Gochuumon wa Usagi desu ka?,https://www.sweetmonia.com/Sweet-Anime-Blog/wp-content/uploads/2015/07/proc_90af7edbfd8a161a-copy.png
Hayasaka Ai,Kaguya-sama wa Kokurasetai,https://animenew.com.br/wp-content/uploads/2024/05/Ai-Hayasaka-do-anime-Kaguya-Sama-ganhou-vida-com-IA-jpg-webp.webp
Nakasu Kasumi,Love Live! Nijigasaki Gakuen School Idol Doukoukai,https://static.zerochan.net/Nakasu.Kasumi.full.3533672.jpg
Nishikigi Chisato,Lycoris Recoil,https://i.ytimg.com/vi/3W13Sj-Jzsw/maxresdefault.jpg
Yakishio Lemon,Make Heroine ga Oosugiru!,https://pbs.twimg.com/media/GY5P6miboAAmaSf.jpg
Koshigaya Komari,Non Non Biyori,https://i.namu.wiki/i/EqxZrbBM0XPY5XtPmXgnBlNXD6lcE4roFXja6isFxPAFr2NMyH454W0AABRQUTDVwrSHflauC6jAkyRznry9SQ.gif
Minamoto Sakura,Zombieland Saga,https://i.ytimg.com/vi/g1fvQW71BdI/maxresdefault.jpg
Sango,Pokémon Horizons,https://64.media.tumblr.com/2e0ba185388d71c3ca4bdf55b33e8276/936230bea0e37d6e-e3/s1280x1920/274173f2006856271f1c402085c42b8794a0336b.jpg
Kuramoto China,Gakuen Idolmaster,https://pbs.twimg.com/media/GaQ0pPKbUAQm2R9?format=jpg&name=small
The Herta,Honkai Star Rail,https://pbs.twimg.com/media/GiIxQvrbIAAu7Fk?format=jpg&name=small
Tania,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",https://i.pinimg.com/736x/92/3b/ab/923bab5cf8787a21ca18c6ccefbb6cf2.jpg
Kono Miyako,22/7,https://i.ytimg.com/vi/70ite4wHlYo/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLA5wNf-vwdvVUPWMEGCDEXBEN-qMw
Elf,Goblin Slayer,https://i.pinimg.com/736x/5e/cb/c9/5ecbc9b10ee63e3359304387fc568459.jpg
Ajisai,Kunoichi Tsubaki no Mune no Uchi,https://i.ytimg.com/vi/vZc5oYhaitM/maxresdefault.jpg
Watase Kiui,Yoru no Kurage wa Oyogenai,https://pbs.twimg.com/media/GMYCVOXWkAIQCKg.jpg:small
Milim Nava,Tensei Shitara Slime Datta Ken Wiki,"https://imgsrv.crunchyroll.com/cdn-cgi/image/fit=contain,format=auto,quality=70,width=1200,height=675/catalog/crunchyroll/474f35305db31cd1627af8aaff3ff40e.jpg"
Hakurei Reimu,Touhou Project,https://wallpapersmug.com/large/adb9c6/cute-stare-reimu-hakurei.jpg
